iso3,country,adult_obesity_1999,adult_obesity_2000,adult_obesity_2001,adult_obesity_2002,adult_obesity_2003,adult_obesity_2004,adult_obesity_2005,adult_obesity_2006,adult_obesity_2007,adult_obesity_2008,adult_obesity_2009,adult_obesity_2010,adult_obesity_2011,adult_obesity_2012,adult_obesity_2013,adult_obesity_2014,adult_obesity_2015,adult_obesity_2016,adult_diabetes_1999,adult_diabetes_2000,adult_diabetes_2001,adult_diabetes_2002,adult_diabetes_2003,adult_diabetes_2004,adult_diabetes_2005,adult_diabetes_2006,adult_diabetes_2007,adult_diabetes_2008,adult_diabetes_2009,adult_diabetes_2010,adult_diabetes_2011,adult_diabetes_2012,adult_diabetes_2013,adult_diabetes_2014
CAN,Canada,19.28,19.9,20.51,21.12,21.72,22.32,22.91,23.49,24.08,24.66,25.24,25.83,26.42,27.01,27.61,28.22,28.83,29.46,6.04,6.07,6.11,6.14,6.17,6.20,6.22,6.23,6.24,6.25,6.24,6.23,6.22,6.22,6.22,6.23
CHE,Switzerland,14.42,14.83,15.24,15.65,16.07,16.5,16.94,17.38,17.82,18.28,18.74,19.2,19.67,20.16,20.65,21.15,21.67,22.19,4.72,4.74,4.77,4.79,4.82,4.85,4.89,4.93,4.97,5.01,5.05,5.09,5.12,5.18,5.23,5.30
CHL,Chile,16.67,17.13,17.58,18.04,18.5,18.97,19.43,19.91,20.38,20.86,21.35,21.83,22.33,22.82,23.32,23.83,24.35,24.87,8.34,8.43,8.51,8.60,8.69,8.79,8.90,9.01,9.14,9.27,9.40,9.53,9.68,9.83,9.99,10.16
CHN,China,1.64,1.77,1.92,2.08,2.25,2.44,2.64,2.85,3.08,3.33,3.59,3.86,4.15,4.46,4.78,5.13,5.49,5.87,5.94,6.15,6.38,6.61,6.85,7.10,7.36,7.64,7.91,8.19,8.47,8.75,9.03,9.32,9.61,9.90
CIV,Côte d’Ivoire,2.25,2.37,2.51,2.66,2.81,2.98,3.15,3.34,3.53,3.74,3.95,4.18,4.42,4.67,4.93,5.21,5.51,5.81,5.46,5.57,5.69,5.81,5.92,6.04,6.16,6.28,6.40,6.52,6.65,6.79,6.92,7.05,7.19,7.34
CMR,Cameroon,2.45,2.6,2.76,2.92,3.1,3.27,3.46,3.66,3.86,4.07,4.29,4.51,4.75,5,5.26,5.53,5.81,6.11,4.90,5.02,5.14,5.27,5.40,5.53,5.66,5.79,5.90,6.01,6.11,6.20,6.27,6.36,6.45,6.55
COD,Democratic Republic of the Congo,1.29,1.37,1.46,1.55,1.65,1.75,1.86,1.97,2.1,2.22,2.36,2.5,2.66,2.82,2.99,3.17,3.37,3.57,4.08,4.18,4.28,4.39,4.51,4.63,4.77,4.91,5.05,5.21,5.36,5.51,5.68,5.85,6.04,6.23
COG,Congo,2.24,2.37,2.5,2.64,2.79,2.95,3.11,3.28,3.46,3.65,3.85,4.05,4.27,4.49,4.73,4.98,5.24,5.52,5.67,5.76,5.86,5.96,6.07,6.18,6.30,6.43,6.57,6.71,6.86,7.02,7.19,7.36,7.54,7.72
COL,Colombia,10.31,10.68,11.06,11.45,11.84,12.23,12.64,13.04,13.46,13.88,14.31,14.75,15.19,15.65,16.11,16.59,17.08,17.58,6.55,6.68,6.80,6.91,7.03,7.14,7.26,7.37,7.48,7.59,7.71,7.82,7.94,8.06,8.19,8.33
COM,Comoros,1.56,1.63,1.7,1.78,1.86,1.94,2.02,2.11,2.2,2.3,2.4,2.51,2.62,2.74,2.87,3,3.14,3.3,5.64,5.78,5.91,6.04,6.18,6.32,6.47,6.61,6.76,6.90,7.05,7.20,7.35,7.51,7.68,7.86
