country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
United Kingdom,16.53,17.06,17.61,18.18,18.75,19.34,19.93,20.53,21.14,21.75,22.37,23,23.63,24.26,24.9,25.55,26.21,26.87
Georgia,10.81,11.13,11.48,11.84,12.22,12.62,13.04,13.49,13.96,14.46,14.97,15.51,16.07,16.65,17.25,17.88,18.53,19.2
Ghana,1.74,1.86,1.98,2.11,2.25,2.39,2.53,2.68,2.84,3,3.16,3.34,3.52,3.7,3.9,4.1,4.32,4.55
Guinea,1.46,1.54,1.63,1.72,1.82,1.93,2.04,2.15,2.27,2.4,2.53,2.67,2.82,2.98,3.14,3.32,3.51,3.71
Gambia,1.99,2.13,2.28,2.44,2.61,2.79,2.98,3.17,3.37,3.58,3.8,4.03,4.27,4.52,4.78,5.05,5.34,5.63
Guinea-Bissau,1.71,1.83,1.96,2.1,2.25,2.4,2.57,2.74,2.92,3.11,3.31,3.52,3.74,3.97,4.21,4.47,4.74,5.03
Equatorial Guinea,1.68,1.77,1.86,1.95,2.04,2.14,2.24,2.35,2.46,2.58,2.7,2.83,2.97,3.11,3.26,3.43,3.6,3.78
Greece,15.62,16.04,16.48,16.93,17.4,17.87,18.35,18.84,19.34,19.85,20.37,20.89,21.42,21.95,22.5,23.05,23.61,24.18
Grenada,6.73,7.05,7.38,7.72,8.06,8.41,8.77,9.13,9.49,9.87,10.25,10.65,11.06,11.48,11.92,12.38,12.85,13.35
Guatemala,7.83,8.17,8.53,8.89,9.26,9.64,10.04,10.44,10.84,11.26,11.69,12.13,12.59,13.06,13.54,14.03,14.55,15.08
Guyana,6.06,6.33,6.61,6.91,7.22,7.54,7.87,8.22,8.58,8.96,9.35,9.76,10.19,10.65,11.12,11.62,12.14,12.69
Honduras,7.7,8.07,8.45,8.84,9.24,9.66,10.08,10.53,10.98,11.45,11.93,12.42,12.92,13.44,13.97,14.51,15.07,15.64
Croatia,15.25,15.68,16.13,16.59,17.06,17.54,18.03,18.53,19.04,19.56,20.1,20.64,21.19,21.75,22.33,22.91,23.51,24.12
Haiti,6.49,6.87,7.29,7.76,8.27,8.82,9.41,10.05,10.72,11.43,12.17,12.94,13.73,14.54,15.36,16.21,17.07,17.94
Hungary,18.65,19.06,19.49,19.96,20.44,20.95,21.48,22.03,22.6,23.18,23.78,24.39,25.01,25.63,26.25,26.89,27.53,28.17
Indonesia,1.2,1.32,1.45,1.59,1.74,1.89,2.06,2.24,2.43,2.63,2.84,3.07,3.31,3.57,3.85,4.14,4.45,4.78
India,0.91,0.97,1.04,1.11,1.18,1.26,1.35,1.44,1.54,1.64,1.75,1.87,1.99,2.12,2.27,2.42,2.58,2.75
Ireland,14.86,15.39,15.93,16.48,17.04,17.61,18.18,18.76,19.35,19.95,20.55,21.17,21.79,22.41,23.06,23.71,24.38,25.06
